2B,3B,AB,BBA,BB,BPF,CG,CS,Color B,Color G,Color R,DP,Div Win,ERA,ER,E,FP,Franchise ID,G,Ghome,HA,HBP,HRA,HR,H,I Pouts,L,Lg Win,Number of Records,PPF,RA,R,Rank,SB,SF,SHO,SOA,SO,SV,WC Win,WS Win,W,Attendance,Div ID,Franch ID,Lg ID,Name,Park,Team IDBR,Team ID,teamIDlahman45,Team I Dretro,Year ID
257,39,5531,503,501,102,39,61,52,18,180,168,N,4.77,759,118,0.98,MIN,162,81,1579,,200,196,1446,4296,91,N,1,102,839,741,6,81,,6,937,977,24,,N,71,1255453,W,MIN,AL,Minnesota Twins,Hubert H Humphrey Metrodome,MIN,MIN,MIN,MIN,1986
255,38,5461,494,530,103,29,50,72,43,22,146,N,4.01,638,146,0.976,MIL,161,80,1478,,158,127,1393,4293,84,N,1,104,734,667,6,100,,12,952,986,32,,N,77,1265041,E,MIL,AL,Milwaukee Brewers,County Stadium,MIL,ML4,MIL,MIL,1986
255,50,5508,566,537,100,15,95,43,18,186,132,N,3.78,616,133,0.979,WSN,161,80,1350,,119,110,1401,4398,83,N,1,100,688,637,4,193,,9,1051,1016,50,,N,78,1128981,E,WSN,NL,Montreal Expos,Stade Olympique,MON,MON,MON,MON,1986
275,23,5570,492,645,99,13,48,67,28,0,153,N,4.11,659,127,0.979,NYY,162,80,1461,,175,188,1512,4329,72,N,1,98,738,797,2,139,,8,878,911,58,,N,90,2268030,E,NYY,AL,New York Yankees,Yankee Stadium II,NYY,NYA,NYA,NYA,1986
261,31,5558,509,631,98,27,48,0,74,255,145,Y,3.11,513,138,0.978,NYM,162,81,1304,,103,148,1462,4452,54,Y,1,96,578,783,1,118,,11,1083,968,46,,Y,108,2767601,E,NYM,NL,New York Mets,Shea Stadium,NYM,NYN,NYN,NYN,1986
213,25,5435,667,553,92,22,61,30,178,239,120,N,4.31,686,135,0.978,OAK,162,83,1334,,166,163,1370,4299,86,N,1,92,760,731,3,139,,8,937,983,37,,N,76,1314646,W,OAK,AL,Oakland Athletics,Oakland Coliseum,OAK,OAK,OAK,OAK,1986
266,39,5483,553,589,104,22,59,68,18,212,157,N,3.85,621,137,0.978,PHI,161,80,1473,,130,154,1386,4353,75,N,1,104,713,739,2,153,,11,874,1154,39,,N,86,1933335,E,PHI,NL,Philadelphia Phillies,Veterans Stadium,PHI,PHI,PHI,PHI,1986
273,33,5456,570,569,102,17,84,39,184,252,134,N,3.9,628,142,0.978,PIT,162,81,1397,,138,111,1366,4350,98,N,1,103,700,663,6,152,,9,924,929,30,,N,64,1000917,E,PIT,NL,Pittsburgh Pirates,Three Rivers Stadium,PIT,PIT,PIT,PIT,1986
239,25,5515,607,484,98,13,68,97,44,4,135,N,3.99,640,135,0.978,SDP,162,81,1406,,150,136,1442,4329,88,N,1,98,723,656,4,96,,7,934,917,32,,N,74,1805716,W,SDP,NL,San Diego Padres,Jack Murphy Stadium,SDP,SDN,SDN,SDN,1986
243,41,5498,585,572,100,33,76,92,91,0,191,N,4.65,743,156,0.975,SEA,162,82,1590,,171,158,1392,4317,95,N,1,101,835,718,7,93,,5,944,1148,27,,N,67,1029045,W,SEA,AL,Seattle Mariners,Kingdome,SEA,SEA,SEA,SEA,1986
