Number of Records,Franchise ID,Lg ID,Name First,Name Given,Name Last,playerID (Master.csv),Player ID,Pos Team ID,Starting Pos,Team ID,Year ID
1,KCR,AL,Frank,Frank,White,whitefr01,whitefr01,KCA,,KCA,1986
1,ANA,AL,Mike,Michael Atwater,Witt,wittmi01,wittmi01,CAL,,CAL,1986
1,NYM,NL,Dwight,Dwight Eugene,Gooden,goodedw01,goodedw01,NYN,1,NYN,1986
1,NYM,NL,Gary,Gary Edmund,Carter,cartega01,cartega01,NYN,2,NYN,1986
1,NYM,NL,Keith,Keith,Hernandez,hernake01,hernake01,NYN,3,NYN,1986
1,CHC,NL,Ryne,Ryne Dee,Sandberg,sandbry01,sandbry01,CHN,4,CHN,1986
1,PHI,NL,Mike,Michael Jack,Schmidt,schmimi01,schmimi01,PHI,5,PHI,1986
1,STL,NL,Ozzie,Osborne Earl,Smith,smithoz01,smithoz01,SLN,6,SLN,1986
1,SDP,NL,Tony,Anthony Keith,Gwynn,gwynnto01,gwynnto01,SDN,7,SDN,1986
1,ATL,NL,Dale,Dale Bryan,Murphy,murphda05,murphda05,ATL,8,ATL,1986
1,NYM,NL,Darryl,Darryl Eugene,Strawberry,strawda01,strawda01,NYN,9,NYN,1986
1,HOU,NL,Kevin,Kevin Charles,Bass,basske01,basske01,HOU,,HOU,1986
1,WSN,NL,Hubie,Hubert,Brooks,brookhu01,brookhu01,MON,,MON,1986
1,SFG,NL,Chris,John Christopher,Brown,brownch02,brownch02,SFN,,SFN,1986
1,SFG,NL,Chili,Charles Theodore,Davis,davisch01,davisch01,SFN,,SFN,1986
1,HOU,NL,Glenn,Glenn Earle,Davis,davisgl01,davisgl01,HOU,,HOU,1986
1,CHC,NL,Jody,Jody Richard,Davis,davisjo02,davisjo02,CHN,,CHN,1986
1,NYM,NL,Sid,Charles Sidney,Fernandez,fernasi01,fernasi01,NYN,,NYN,1986
1,CIN,NL,John,John Anthony,Franco,francjo01,francjo01,CIN,,CIN,1986
1,SFG,NL,Mike,Michael Edward,Krukow,krukomi01,krukomi01,SFN,,SFN,1986
1,CIN,NL,Dave,David Gene,Parker,parkeda01,parkeda01,CIN,,CIN,1986
1,PIT,NL,Tony,Antonio Francesco,Pena,penato01,penato01,PIT,,PIT,1986
1,WSN,NL,Tim,Timothy,Raines,raineti01,raineti01,MON,,MON,1986
1,PHI,NL,Shane,Shane William,Rawley,rawlesh01,rawlesh01,PHI,,PHI,1986
1,WSN,NL,Jeff,Jeffrey James,Reardon,reardje01,reardje01,MON,,MON,1986
1,PIT,NL,Rick,Richard Alan,Rhoden,rhoderi01,rhoderi01,PIT,,PIT,1986
1,LAD,NL,Steve,Stephen Louis,Sax,saxst01,saxst01,LAN,,LAN,1986
1,HOU,NL,Mike,Michael Warren,Scott,scottmi03,scottmi03,HOU,,HOU,1986
